iDigBio_uuid	Image	Species	Latitude	Longitude	Year	DOY	Elevation	AnnualMonthlyAverageTemp	SpringMonthlyAverageTemp	FirstQuarterMonthlyAverageTemp
00094e79-d620-4792-b46b-542d9ff36fc4	Mertensia_virginica_00094e79-d620-4792-b46b-542d9ff36fc4.jpg	Mertensia_virginica	39.9301	-76.379406	1893.28767123288	106	86.27	10.3172443381821	9.35824914773305	-1.44578436017036
00679136-de05-4ff3-b497-c89c89e71b5c	Mertensia_virginica_00679136-de05-4ff3-b497-c89c89e71b5c.jpg	Mertensia_virginica	36.541782	-78.963991	1974.23835616438	88	107.44	14.5053847959886	14.7132383907835	8.29799890518188
0084f790-3632-4e31-87ba-2ca269a4dabd	Mertensia_virginica_0084f790-3632-4e31-87ba-2ca269a4dabd.jpg	Mertensia_virginica	40.024418	-80.202641	1908.30601092896	113	287.73	10.8428934601446	11.1913491686185	0.80183349053065
012410d3-32c3-41ad-bd19-3459d733be02	Mertensia_virginica_012410d3-32c3-41ad-bd19-3459d733be02.jpg	Mertensia_virginica	43.803711	-92.029358	1977.34794520548	128	338.43	7.16670480805139	10.9504679838816	-6.49256801605225
015eb019-7c8c-4a10-b114-0179e689f1b1	Mertensia_virginica_015eb019-7c8c-4a10-b114-0179e689f1b1.jpg	Mertensia_virginica	39.783333	-75.65	2010.26849315068	99	79.1	12.9469685032964	13.4537224769592	2.47477279106776
01949e53-83fd-44da-96a9-bc4475793f8d	Mertensia_virginica_01949e53-83fd-44da-96a9-bc4475793f8d.jpg	Mertensia_virginica	38.587133	-87.629703	2021.2904109589	107	124.78	14.1729541799674	13.874568661054	3.09889433781306
0218e353-b031-48b1-b696-f86d33ffca4b	Mertensia_virginica_0218e353-b031-48b1-b696-f86d33ffca4b.jpg	Mertensia_virginica	39.407786	-76.371617	1951.28493150685	105	1.56	12.7121817798664	11.632811067005	3.32539194077253
026e0cc7-c1d9-4357-8dac-b7701486c540	Mertensia_virginica_026e0cc7-c1d9-4357-8dac-b7701486c540.jpg	Mertensia_virginica	36.587886	-78.898128	1975.23835616438	88	100.75	14.5901308183869	13.099734266599	6.34799957275391
02f55a9e-02fd-46cf-8a10-b7f492e39e0d	Mertensia_virginica_02f55a9e-02fd-46cf-8a10-b7f492e39e0d.jpg	Mertensia_virginica	40.675778	-80.402944	1930.33424657534	123	287.2	10.5938739984607	9.72144617636999	1.20940331617991
04418316-ab64-4512-bd4b-8575c90c0e18	Mertensia_virginica_04418316-ab64-4512-bd4b-8575c90c0e18.jpg	Mertensia_virginica	40.011465	-78.411196	1942.35342465753	130	313.44	9.72873379910986	10.4939492146174	-0.799244110782941
0482d319-0897-4741-bdb0-78e1facf6f95	Mertensia_virginica_0482d319-0897-4741-bdb0-78e1facf6f95.jpg	Mertensia_virginica	40.265368	-76.708303	1911.34794520548	128	117.29	11.0605179381867	9.93662210305532	0.562533656756083
04ac57b6-56ab-4d47-913f-dbd5efb93fba	Mertensia_virginica_04ac57b6-56ab-4d47-913f-dbd5efb93fba.jpg	Mertensia_virginica	39.882444	-80.43423	1983.34520547945	127	296.35	10.7531246989965	9.43087673187256	2.13435910145442
04b83c29-33c4-4a9f-adbc-f48c4efe2659	Mertensia_virginica_04b83c29-33c4-4a9f-adbc-f48c4efe2659.jpg	Mertensia_virginica	40.24311	-79.82736	2010.30684931507	113	288.35	11.8175039415558	12.7164018948873	0.818578660488129
04e3122a-5565-4f2e-bed8-8c5e70932824	Mertensia_virginica_04e3122a-5565-4f2e-bed8-8c5e70932824.jpg	Mertensia_virginica	40.0085	-78.43789	1950.34246575342	126	317.02	9.18453003714482	7.33420949180921	0.746582845846812
04e75551-25bf-45a0-9890-7995536448da	Mertensia_virginica_04e75551-25bf-45a0-9890-7995536448da.jpg	Mertensia_virginica	39.872427	-88.169857	1969.31780821918	117	194.63	10.5214191271613	10.1774946848551	-0.990829706192017
056a5cc5-47ec-4a34-8a8a-3a2281f9b67d	Mertensia_virginica_056a5cc5-47ec-4a34-8a8a-3a2281f9b67d.jpg	Mertensia_virginica	39.342473	-77.396262	1971.27123287671	100	123.16	12.3669678394993	10.3364096482595	1.38143135110537
05814a35-d34e-4e01-aa5f-e138a7189a30	Mertensia_virginica_05814a35-d34e-4e01-aa5f-e138a7189a30.jpg	Mertensia_virginica	40.543671	-80.300447	1934.35068493151	129	253.44	10.3536814659213	9.08914794524511	-2.29273613293966
05de9d1d-e086-4554-b857-26a89d82b00b	Mertensia_virginica_05de9d1d-e086-4554-b857-26a89d82b00b.jpg	Mertensia_virginica	39.602385	-76.134896	1990.30136986301	111	83.65	13.3677845001221	11.7750360469023	5.38191282749176
066c83af-872d-455d-95cd-830e0133d002	Mertensia_virginica_066c83af-872d-455d-95cd-830e0133d002.jpg	Mertensia_virginica	39.888069	-87.198719	2021.31232876712	115	158.65	12.6572416921457	12.2218515475591	1.04149687290192
0807adaf-b864-403d-8cf7-dc74b5e10baa	Mertensia_virginica_0807adaf-b864-403d-8cf7-dc74b5e10baa.jpg	Mertensia_virginica	38.946569	-86.552058	1960.31147540984	115	177.03	11.5583517923951	9.3432119290034	-0.38246738910675
083d2ec1-e298-44c7-8708-6379299b92db	Mertensia_virginica_083d2ec1-e298-44c7-8708-6379299b92db.jpg	Mertensia_virginica	41.331676	-80.472014	1958.31506849315	116	324.62	8.13764172916611	7.93988205989202	-2.9127884109815
0854eeca-dad1-4466-b92f-fb57aa1c4bb8	Mertensia_virginica_0854eeca-dad1-4466-b92f-fb57aa1c4bb8.jpg	Mertensia_virginica	39.430348	-86.403741	1982.29863013699	110	205.05	11.451774460574	11.5380833943685	-0.533389588197072
08d350b6-e0c9-4e6a-bc0c-a7008364168c	Mertensia_virginica_08d350b6-e0c9-4e6a-bc0c-a7008364168c.jpg	Mertensia_virginica	43.8844452	-92.4011078	1985.29863013699	110	348.23	6.01544042304158	9.55975993474325	-6.51935863494873
096650ea-6967-410b-8308-1535922e0988	Mertensia_virginica_096650ea-6967-410b-8308-1535922e0988.jpg	Mertensia_virginica	39.288971	-86.774265	1950.34520547945	127	167.97	10.6916915501157	9.82307064533234	2.15324657162031
0a410bc4-16ac-4644-a640-e44215571ef4	Mertensia_virginica_0a410bc4-16ac-4644-a640-e44215571ef4.jpg	Mertensia_virginica	38.8951333	-76.6760722	1992.27595628415	102	2.45	12.8586074262857	11.5469861924648	4.32363623380661
0ba87508-6add-44f8-a9d3-46785b0cd22a	Mertensia_virginica_0ba87508-6add-44f8-a9d3-46785b0cd22a.jpg	Mertensia_virginica	39.11762	-77.029784	1967.29863013699	110	116.82	11.7730852427582	10.7055102189382	2.82857119540373
0c47ffd9-797a-4b61-a473-2797be585ebc	Mertensia_virginica_0c47ffd9-797a-4b61-a473-2797be585ebc.jpg	Mertensia_virginica	39.0149806	-77.1000889	1974.28767123288	106	70.61	12.695893558984	12.4134049216906	4.19455654422442
0c589582-1e96-4859-98e5-3433d9fcec4f	Mertensia_virginica_0c589582-1e96-4859-98e5-3433d9fcec4f.jpg	Mertensia_virginica	41.702098	-91.585025	1939.36164383562	133	239.67	10.5527034824093	10.0278523763021	-1.29817207654317
0d97a6e3-3e9f-4d9c-98a5-4377b7851822	Mertensia_virginica_0d97a6e3-3e9f-4d9c-98a5-4377b7851822.jpg	Mertensia_virginica	41.325607	-80.1964	1900.36438356164	134	373.71	9.13778665661812	6.78367102146149	-3.19767892360687
0de2a55c-197c-4c43-bfa8-99e4e3851692	Mertensia_virginica_0de2a55c-197c-4c43-bfa8-99e4e3851692.jpg	Mertensia_virginica	38.417153	-84.854953	2010.27397260274	101	152.7	13.2900866170724	14.3351736068726	1.6841580470403
