iDigBio_uuid	Image	Species	Latitude	Longitude	Year	DOY	Elevation	AnnualMonthlyAverageTemp	SpringMonthlyAverageTemp	FirstQuarterMonthlyAverageTemp
031ff2ae-0b00-43c3-b15d-36cb061fb47a	Enemion_biternatum_031ff2ae-0b00-43c3-b15d-36cb061fb47a.jpg	Enemion_biternatum	39.214952	-86.541821	1913.25753424658	95	181.99	12.4856784294049	11.2492269376914	1.58767646551132
047955d1-b411-4703-98a6-82feb24b70b9	Enemion_biternatum_047955d1-b411-4703-98a6-82feb24b70b9.jpg	Enemion_biternatum	33.5545958129	-86.8963933196	2000.22950819672	85	176.4	17.1451240479946	17.4689173698425	10.4920275410016
0507f936-c327-45db-8876-a5c6edb5d4fc	Enemion_biternatum_0507f936-c327-45db-8876-a5c6edb5d4fc.jpg	Enemion_biternatum	40.516519	-79.887438	2013.30684931507	113	279.55	10.521308961014	9.58496042092641	-0.215377817551295
07cd31a4-791a-48f7-85f5-3f4dfa857308	Enemion_biternatum_07cd31a4-791a-48f7-85f5-3f4dfa857308.jpg	Enemion_biternatum	39.768759	-86.029157	1910.25753424658	95	255.11	10.1638504303992	11.3844711184502	1.09670392672221
0b1c10de-584c-4db5-a63f-e5ec47b5be62	Enemion_biternatum_0b1c10de-584c-4db5-a63f-e5ec47b5be62.jpg	Enemion_biternatum	39.252846	-86.529133	1930.27671232877	102	213.66	11.834562415878	11.460182706515	1.61040790875753
0ceb73a7-c656-4d9f-a5ff-f20923ca95ad	Enemion_biternatum_0ceb73a7-c656-4d9f-a5ff-f20923ca95ad.jpg	Enemion_biternatum	36.524115	-87.332331	1942.26849315068	99	132.5	14.3309252038598	14.7448481023312	4.08477534850438
0f730d4d-db4f-4651-aa3d-5e53fefc4e9e	Enemion_biternatum_0f730d4d-db4f-4651-aa3d-5e53fefc4e9e.jpg	Enemion_biternatum	45.2505556	-90.6558333	1997.38356164384	141	424.22	5.17091294750571	3.66034489870071	-7.91416831811269
1044cda3-d073-4964-a198-17cb7db114fd	Enemion_biternatum_1044cda3-d073-4964-a198-17cb7db114fd.jpg	Enemion_biternatum	39.252846	-86.529133	1930.35890410959	132	213.66	11.834562415878	11.460182706515	1.61040790875753
1157aa45-180e-4fee-871e-035ce977d386	Enemion_biternatum_1157aa45-180e-4fee-871e-035ce977d386.jpg	Enemion_biternatum	40.423094	-85.363594	1906.32328767123	119	272.29	10.2901467929284	8.69598865509033	-1.54800335566203
17d685f0-89d1-41f2-aa7b-f6822a3ef3a8	Enemion_biternatum_17d685f0-89d1-41f2-aa7b-f6822a3ef3a8.jpg	Enemion_biternatum	40.280929	-85.113671	1916.37158469945	137	289.52	9.97940534849962	8.82856303453445	-0.984510938326518
